"COMP_ID","COMP_NM","COMP_LONG_NM","ISIN_CODE","TICKER"
"10920",CHI Investments,CHI Investments,,
"11683",NHB,,,
"11768",HSIL,,,
"11141",Automotive Axles,Automotive Axles Ltd,INE449A01011,
"11438",Dhampur Su,Dhampur Sugar (Kashipur) Ltd,,
"12105",Zeal Aqua Ltd,,,
"11954",Check Point Software,,,
"10786",Om Metals Infrap,Om Metals Infraprojects Ltd,INE239D01028,
"10908",Lumax Inds.,Lumax Industries Ltd,INE162B01018,
"11876",BTS Group Holdings,,,
"11834",Aditya Vidyut Appliances Ltd ,,,
"11539",Indo Count Inds.,Indo Count Industries Ltd,INE483B01018,
"11542",Mahindra Satyam,Mahindra Satyam,,
"11308",CLSA CONF -2016,,,
"11267",VK_Group,,,
"11480","21st Century Fox Inc.",,,
"11690", HTmedia,,,
"11116",Som Distilleries,Som Distilleries & Breweries Ltd,INE480C01012,
"11722",Edelweiss Financial Services,,,
"10906",International tractors ,,,
"11036",Gharda Chemicals Ltd,,,
"11219",Toshiba,,,
"11140",Amazon India ,,,
"11433",Arvind Remedies,Arvind Remedies Ltd,INE211C01037,
"11017",Hyd.Industries,Hyderabad Industries Ltd,INE557A01011,HYI IN Equity
"11423",K P M G Ltd,,,
"11561",Mahindra Lifespace,Mahindra Lifespace,INE813A01018,
"11856",Brilliance China Automotive Limited ,,,
"11197",Tikona Digital Network,,,
"11926",Henkel AG & Co.,,,
"11499",Visa Steel,Visa Steel Ltd,INE286H01012,
"10652",Pan India ,,,
"11941",Bharat Dynamics Ltd.,,,
"11299",National Oilwell (US Company),,,
"11688",ICICI Prudential Nifty Low Vol 30 iWIN ETF,,,
"11186",Calcom Vision,Calcom Vision Ltd,INE216C01010,
"11512",IFB Agro Inds.,IFB Agro Industries Ltd,INE076C01018,
"10893",Manappuram Gen.,Manappuram General Finance & Leasing Ltd,,
"11553",Subex Azure,Subex Azure Ltd,INE754A01014,NSUBX IN Equity
"11066",Maruti Infra.,Maruti Infrastructure Ltd,INE392G01010,
"12014",Fine Organics Limited,,,
"11246",Geojit Fin. Ser.,Geojit Financial Services Ltd,,
"11900",Starcom India Ltd ,,,
"11781",Premier Explosives Ltd.,,,
"12146",Mahindra Insurance,,,
"11904",Bagmane Group Ltd ,,,
"11972",Zhongsheng Group Holdings (881 HK),,,
"11184",Agro Dutch Foods,,,
"11574",Western Union Company(US Company),,,
"11016",Grocermax,,,
"10606",Mahindra CIE Automotive Limited ,,,
"11970",Soft bank Energy limited,,,
"11667",IFB Industries Ltd,IFB Industries Ltd,,
"10772",Aditya Birla Nuv,Aditya Birla Nuvo Ltd,INE069A01017,NABNL IN Equity
"11857",Future Supply Chain Limited ,,,
"11560",ION Exchange,Ion Exchange (India) Ltd,INE570A01014,
"11818",Cardinal Health Inc.,,,
"11663",Accenture,,,
"11367",Snapdeal,,,
"10923",GTL Infra,,,
"10937",Rohit Surfactants Private Limited,,,
"11692",Alphageo,,,
"11802",Air India,,,
"11238",Wall Street Fin.,Wall Street Finance Ltd,INE549D01012,
"11566",Pantaloon Retail,Pantaloon Retail (India) Ltd,INE623B01027,NPF IN Equity
"12317",Sterling and Wilson Solar Limited ,,,
"11971",Fuyao Glass Industry Group,,,
"10815",Vesuvius India,Vesuvius India Ltd,INE386A01015,
"11305",Schlumberger NV,,,
"11903",Fairwinds Ltd ,,,
"11870",Newgen Limited,,,
"11580",Advanced Enzyme Technologies Ltd,,,
"11710",Matrimony.com,,,
"11382",PTC India,PTC India Ltd,INE877F01012,NPTCIN IN Equity
"11348",THE THIRD EYE,,,
"11661",GTPL Hathway,,,
"11810",Route Mobile,,,
"11745",Siam Cement,,,
"11836",FBV Search Concepts Private Limited,,,
"11051",Sobha Developers Ltd,Sobha Developers Ltd,,
"11301",Nippon Paints India Pvt Ltd,,,
"11346",Siyaram Silk,Siyaram Silk Mills Ltd,INE076B01010,SIYA IN Equity
"11187",Bhartiya Global Infomedia Ltd,,,
"11816",Technocraft Industries India ,,,
"11427",Mid-Day Multimed,Mid-Day Multimedia Ltd,,
"11607",Kotak Mahindra Life Insurance,,,
"11805",Arrow Greentech,,,
"11899",Seya Industries Limited,,,
"11217",Talbros Auto.,Talbros Automotive Components Ltd,INE187D01011,
"11948",Nexen Tire Ltd,,,
"11514",HEG,HEG Ltd,INE545A01016,NHEG IN Equity
"10741",Morepen Labs.,Morepen Laboratories Ltd,INE083A01026,
"11963",ISG Ltd,,,
"11741",Indian Foundation of transport research & training,,,
"11801",Mahindra Logistics,,,
"11681",Nokia,,,
"11541",Kewal Kiran Clot,Kewal Kiran Clothing Ltd,INE401H01017,NKEKC IN Equity
"10939",Venky's (India),Venkys (India) Ltd,INE398A01010,NWH IN Equity
"11593",SH Kelkar & Company Ltd,,,
"11379",Juris Corp,,,
"12016",State Bank Of India General Insurance,,,
"11256",Kajaria Ceramics Ltd,Kajaria Ceramics Ltd,INE217B01028,
"11919",Astec Life Sciences Ltd ,,,
"11844",Gic re insurance ,,,
"12193",Rio Tinto Plc,,,
"11918",Apollo Microsystem Ltd ,,,
"12092",SPUUL Limited,,,
"11284",Shell India Ltd,,,
"11591",Nirvikara Paper Mills Ltd,,,
"11019",Hindustan Media Venture,,,
"10690",Lovable Lingerie Ltd,,INE597L01014,
"12135",Ceridian HCM Holdings,,,
"11687",Indus Towers ,,,
"11081",Cantabil Retail Ltd,,,
"11888", Cube Highways Ltd,,,
"11813",Muttu Lakshmi Appliances,,,
"11823",Hankook Tire,,,
"11689",Capacit'e Infraprojects,,,
"11428",Muthoot Capital Services Ltd,,,
"11007",Amazon.com Inc.,,,
"11117",Sterling Holiday Resorts (India) Ltd,Sterling Holiday Resorts (India) Ltd,INE657A01019,
"11830",BYD Company Limited,,,
"11999",TCNS Clothing,,,
"11307","Twenty -First Century Fox,Inc.",,,
"11603",Fineotex Chemicals Ltd,,,
"12336",TCI Express,,,
"11975",Fever FM,,,
"10866",Daimler AG,,,
"11441",General Dynamics (U S COMPANY),,,
"12441",Zota Healthcare,,,
"11943",Hindustan Urvarak & Rasayan Ltd ,,,
"11616",Symphony Ltd,,,
"11911",Airports of Thailand,,,
"11691",Enfield Riders,,,
"11377",IFB Inds.,IFB Industries Ltd,INE559A01017,
"11837",Godrej Agrovet Ltd ,,,
"11867",Gandhar Oil,,,
"11909", Liases Foras Limited,,,
"11847",Veto Switchgears And Cables Ltd ,,,
"11295",Guj State Petroleum Copn,Guj State Petroleum Copn,,
"11463",FinoPaytech,,,
"11356",Fidelity Finance,Fidelity Finance Ltd,,
"11204",Balrampur Chini,Balrampur Chini Mills Ltd,INE119A01028,
"11865",China ZhengTong Auto Service Holding Limited,,,
"11586",iGate Global Sol,iGate Global Solutions Ltd,,
"11611",M And B Switchgears Ltd,,,
"11821",Veeva SystemsInc.,,,
"11925",Apsez Limited,,,
"11234",SEW infractures,,,
"11967",Citi Capative Ltd,,,
"11668",AU Small Finance Bank,AU Small Finance Bank,,
"10791",Shimoga Tech.,Shimoga Technologies Ltd,,
"12362",Airtel Africa,,,
"11811",Reliance General insurance ,,,
"11897",Matrix Ltd,,,
"11744",Schaeffler India ,,,
"11579","3i Infotech","3i Infotech Ltd",INE748C01020,NIII IN Equity
"11328",Zylog Systems,Zylog Systems,INE225I01026,
"12242",Mahalaxmi Infrastructure Ltd,,,
"11613",Rangsons,,,
"12053",Hyundai Heavy Industries,,,
"11426",Mart,,,
"12015",Bharti Axa General Insurance Ltd,,,
"11854",Shalby Hospitals Ltd ,,,
"12371",Piramal Realty,,,
"11931", IFMR Capital Ltd,,,
"12107",WUXI biologics,,,
"11312",International Business Machines Corp (IBM),,,
"11709", {Spam?} Errata: Patel Integrated Logistics Limited,,,
"11065",Jupiter Inds.,Jupiter Industries & Leasing Ltd,,
"11206",Caterpiller Inc.(US COMPANY),,,
"12158",Airtel Payments Bank,,,
"11850",Nike India Ltd ,,,
"11100",Tata Capital,Tata Capital,,
"11913",LG Electronics Limited,,,
"11849",Prozone Intu Properties Limited,,,
"11912",Electricity Generating Company Ltd,,,
"11764",South India Cement Limited,,,
"11481",Auto.Corp.of Goa,Automobile Corporation Of Goa Ltd,INE451C01013,ACGL IN Equity
"11076",Addi Inds.,Addi Industries Ltd,INE757C01021,
"11491",Mead Johnson Nutrition Co,,,
"11864",Zoota Healthcare,,,
"12073",Credit Access Gramin Ltd,,,
"11345",Sanghvi Movers,Sanghvi Movers Ltd,INE989A01024,
"11610",Maytas infra,Maytas infra,,
"12347",Maersk,,,
"11985",Indostar Capital Finance Limited,,,
"10926",IOL Chemicals & Pharmaceuticals Ltd,,INE485C01011,
"11476",VST Till. Tract,VST Tillers Tractors Ltd,INE764D01017,VSTT IN Equity
"14755",ICICI Prudential Money Market Fund,,,
"11996",Nekkanti Sea Foods Ltd,,,
"11665",lucid,,,
"11964",India Today,,,
"11784",L & T Infrastructure,,,
"11446",Kiri Dyes and Chemicals Ltd,Kiri Dyes and Chemicals Ltd,,
"11859",Indi-Grid Limited,,,
"11983",RITES Limited,,,
"11935",Mishra Dhatu Nigam Ltd (MIDHANI),,,
"11878",Thai Power Utilities Limited,,,
"11395",ICICI PRUDENTIAL CAPITAL PROTECTION FUND,,,
"11495",Orbit Exports,Orbit Exports Ltd,INE231G01010,
"11403",Man Infraconstructions,,,
"11482",Avon Organics,Avon Organics Ltd,,
"11896", FL Smidth,,,
"11703",Idam Infrastructure,,,
"11664",Tesla,,,
"12151",Jaquar Bath Fittings ,,,
"11957",Splunk,,,
"11357",Goodluck Steel Tube,,,
"11977",Fortescue Metals Group Ltd ,,,
"11868",Big FM,,,
"10869",Equitas Holdings Ltd,,,
"12540",Tata Consumer Products Limited,,,
"11815", Dishman Carbogen Amcis ,,,
"11908",Security & Intelligence Services India Ltd ,,,
"11872",ICICI Prudential Bharat 22 ETF,,,
"11609",Mahanagar Gas Nigam Ltd,,,
"11375",Cords Cable Industries Ltd,Cords Cable Industries Ltd,INE792I01017,
"12279",Department of Mineral resources,,,
"11713",Maharashtra Seamless,,,
"12065",Acerinox,,,
"11669",Mayur Uniquoters Limited,Mayur Uniquoters Limited,,
"12038",Prism Johnson Limited,,INE010A01011,
"11875",Ratchaburi Electricity Generating Holding ,,,
"12431",Upland Software,,,
"12034",Pine Labs Limited,,,
"12152",All India Motor Transport Congress ,,,
"11363",Kitex Garments,Kitex Garments Ltd,INE602G01020,
"11803",Carnival group ,,,
"11119",YLG Salons Pvt Ltd,,,
"11287",Swan Energy Ltd,,INE665A01038,
"12187",Capitaland,,,
"11938",Zhejiang Xinan Chemicals ,,,
"11153",Patanjali Ayurveda Ltd,,,
"11959",Reliance Home Finance Ltd,,,
"11871",UTI Mutual Fund,,,
"11951","Palo Alto Networks, Inc. ",,,
"11783",Vardhman Special Steels,,,
"11770",Baic Motors,,,
"11292",Covidien PLC.,,,
"11624",IMS Health,,,
"11889",Oriental Structural Engineers Pvt Limited,,,
"12076",Alt Balaji Ltd,,,
"11376",H. S. India,H. S. India Ltd,INE731B01010,
"11635",RSI REPORTS,,,
"12378",Hengli Petrochemical,,,
"12051",Niyogin Fintech Limited,,,
"11743",Indian Energy Exchange (IEX),,,
"11489",Japan Consumption,,,
"14784",SoftBank,,,
"12079",Huawei Telecommunications ,,,
"11708",Gulf Oil Lubricants,,,
"11979",Rushil Decor Limited,,,
"11812",Shopclues Ltd,,,
"11454",Sagar Cements,Sagar Cements Ltd,INE229C01013,
"11894",Suburban Diagnostics Ltd ,,,
"12099",Craftsman Ltd,,,
"12047",H-Energy Ltd,,,
"11914",Alphabet Inc.,,,
"11521",Maxim Integrated Products Inc.(U S company),,,
"11606",Jindal Photo,Jindal Photo Ltd,INE796G01012,
"11409",TD power system ltd,,,
"11602",CHINA VISIT,,,
"11922",ISGEC Heavy Engineering,,,
"11848",Prince Pipes Ltd ,,,
"11807",Merino industries ,,,
"12363",Croma,,,
"11988",Accor Hotels Ltd,,,
"11388",Bliss GVS Pharma,Bliss GVS Pharma Ltd,INE416D01022,
"12002",Mando Corporation,,,
"11946",CSL Finance Limited,,,
"10895",Srikalahasti Pipes Ltd,,,
"12567",Mazagon Dock Shipbuilders Limited,,,
"11855",BLS International Services Ltd,,,
"11961",Aditya Birla retail Ltd,,,
"12003",Sundaram Finance Holdings Limited,,,
"11632",Poddar Housing Ltd,,,
"11432",ACETECH,,,
"12383",Pacific basin,,,
"11828",Mahindra Brokers,,,
"12328",DHFL,,,
"11742", Amneal,,,
"12045",Walmark Meditech,,,
"11885",Majestic Research Services and Solution Limited ,,,
"12450",Harsha Electricals,,,
"12057",PN Gadgil & Sons Ltd,,,
"12179",Hannover Re,,,
"11502",TV 18 India,Television Eighteen India Ltd,,NTLEI IN Equity
"12020",Mckinsey & Co,,,
"11172",Hero Motocorp Ltd,,,
"11513",Harley-Davidson Inc,,,
"12203",akums pharmaceuticals,,,
"12013",Red Hat.Inc,,,
"11300",Nelcast Ltd,,INE189I01024,
"11994",GPT Infra Limited,,,
"12006",Capricorn Food Products Ltd,,,
"12046",Zomato,,,
"11940",Vikram Solar Limited,,,
"11822",ICICI Prudential Sensex Index Fund,,,
"11355",Enkei Castalloy,Enkei Castalloy Ltd,INE062D01024,EKC IN Equity
"11723",Suvin Advisors Pvt ltd.,,,
"12022",Purvanchal Expressway Ltd,,,
"12130",Rio Tinto,,,
"11597",TransDigm Group Inc.,,,
"11832",TBZ Ltd ,,,
"12397",Generico,,,
"12052",Hyundai Mipo Dockyard ,,,
"11782",SMS Pharmaceuticals Ltd ,,,
"11704",SVP Global Ventures,,,
"16564",True North ,,,
"12315",Lendingkart,,,
"11765",Tata hitachi,,,
"12049",Indigo Paints Limited,,,
"12021",JTEKT India Limited,,,
"11594",Star Sports,,,
"11960",Boston Consulting Group Ltd,,,
"12149",Karza Technologies,,,
"12078",India Cellular Agency,,,
"12007",Norsk Hydro,,,
"11819",Khadim Ltd ,,,
"11724",Weizmann Forex,,,
"11707",Indian Hume Pipe Company Limited,,,
"11622",BSE India,,,
"11939",Runtu Chemical ,,,
"11877",HIL Ltd ,,,
"11869",Swaadhar Microfinance Limited,,,
"12391",Arysta Lifescience,,,
"12018",Daikin Air-conditioning India Pvt Ltd ,,,
"11455",Sharon Bio-Med.,Sharon Bio-Medicine Ltd,INE028B01029,
"12360",Paisabazar,,,
"11956",Flemingo Travel Retail Ltd,,,
"11112",MasterCard Inc.,,,
"12651",Yinson,,,
"11866",Hyundai Glovis Ltd ,,,
"11962",Saudi Aramco Ltd,,,
"12226",Bector Food Specialities Ltd ,,,
"11973",Adani Roads Limited,,,
"11523",Modison Metals,Modison Metals Ltd,INE737D01021,
"12434","5 Paisa Capital",,,
"11846",General Insurance Corporation of India,,,
"12745",Nippon Life India Asset Management Limited,,,
"11769",Geely Automobile Holdings Ltd.,,,
"12055",Grupo Antolino ,,,
"12023",Bridge to India,,,
"12598",ICICI Prudential Value Fund - Series 13 ,,,
"12088",Vectus Industries Limited,,,
"12227",Small Business Fin Credit Limited,,,
"11693",IG Petrochemicals Limited,,,
"12028","SS&C Technologies, Inc. ",,,
"11827",Korea Shipbuilding,,,
"11575",Wonderla Holidays Ltd.,,,
"12223",Genpact,,,
"12037",Kirloskar Pneumatic Co Limited,,,
"11406",PNC construction,,,
"12064",BLR Logistics Limited,,,
"12048",Adani Gas Limited,,,
"12093",Puranik Builders Ltd,,,
"12236",Nutanix,,,
"11949",Lemon Tree Hotels,,,
"11384",Technofab Engg,,,
"11826",New India Assurance,,,
"12201",Pitti Engineering Limited,,,
"12145",Jiangsu Seven Continents Chemical Co,,,
"11682",Cochin Shipyard,,,
"11898",Interactive TV Ltd,,,
"12486",Xinyi Glass,,,
"12063",Ginger Hotels Limited,,,
"11808",Apex Frozen Foods,,,
"11824",Banpu Power,,,
"16803",EMS Limited,,,
"12366",Jal Shakti,,,
"11814",Tokai Carbon,,,
"12061",Outokumpu,,,
"12147",Propstack ,,,
"11705",Tata Investment Corporation Ltd,,,
"12010",SBI Caps Ltd,,,
"12271",Byju Education,,,
"12139",IndInfravit Trust,,,
"12011","Coherus BioSciences, Inc",,,
"11861",Graphite Electrode Limited,,,
"11890", Sachdeva Holdings Pvt Limtied,,,
"11838",Hikma Pharmaceuticals Ltd ,,,
"11860",Zim Laboratories Ltd ,,,
"12031",Bharathi Cement Ltd,,,
"11969",Atos India Ltd,,,
"11879",Gujarat State Fertilizers Limited,,,
"12402",Western Region Load Dispatch Centre,,,
"12131",BIOVERATIV INC,,,
"11726",Vinn Auto,,,
"12583",ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,,,
"11993",Zscaler ,,,
"11174",Infotech Enterpr,Infotech Enterprises Ltd,INE136B01020,NINFTC IN Equity
"12673",Jubilant Ingrevia Limited,,,
"11884",CMS Info systems Ltd.,,,
"12042",Everbridge.inc,,,
"12258",Aarohan,,,
"12000",Hindustan Foods Ltd,,,
"11845",DM Aster,,,
"12628",Xpeng,,,
"11893",Salasar Techno Engineering Limited,,,
"13404",Rhi Magnesita India Limited,,,
"11841",Emami Cement Ltd ,,,
"12066",Paycom Software.inc,,,
"12167",Intu Properties ,,,
"12642",Bloom Energy,,,
"12160",Holtec Consulting ,,,
"12264",Embassy Office Parks REIT,,,
"11901",Voot Ltd ,,,
"12059",Constellium,,,
"11910",FTR Associates Ltd,,,
"11601",Delta Corp Ltd,,INE124G01033,
"12306",Optic Fibre,,,
"12056",Domo Inc,,,
"11424",L & T Technology Services Ltd,,,
"12173",Grape King,,,
"12077",Century Metal Recycling Ltd,,,
"12159",Loans4SME,,,
"12476",The Park Hotels,,,
"12012",ICICI Prudential S&P BSE 500 ETF,,,
"11439",EQDTWO FUNDS,,,
"11942",Procter & Gamble Hygiene & Health Care Limited,,,
"12233",Fujitsu,,,
"12174",Zijin Mining,,,
"11853",Daga Global Chemicals Ltd,,,
"11915",Delta Air Lines Inc.,,,
"12552",Computer Age Management Services Limited ( CAMS ),,,
"12083",Glencore,,,
"12024",Seven Hill Hospitals Limited,,,
"11829",RKEC Projects,,,
"16938",Hon Hai Precision Industry,,,
"12470",Muthoot Fincorp,,,
"12026",Rail Vikas Nigam Ltd,,,
"12261",Go Digit General Insurance,,,
"12178","13-D",,,
"11825",HVS,,,
"12029",Ooma Inc,,,
"12308",Shaman Cars,,,
"12321",Amazon Prime,,,
"12295",Keppel DC REIT,,,
"11917",Tork Motorcycles Ltd,,,
"11927",Symantec Corporation ,,,
"11851",Great Wall Motor,,,
"11928",Sinotruk Limited,,,
"12204",Village Finance,,,
"11992",Cheniere Energy Inc.,,,
"11895",Kamal Motors Ltd,,,
"12600",ICICI Prudential Growth Fund - Series 2,,,
"12148",CPSE ETF ,,,
"11767",Simpsons India,,,
"13803",Gemini Edibles,,,
"12027",workday.inc,,,
"11241",Usha Martin,Usha Martin Ltd,INE228A01035,NUSM IN Equity
"12679",Formosa Group,,,
"12005",Macquarie Infrastructure and Real Assets Private Limited,,,
"12115",Endo,,,
"12287",Adani Green Energy,,,
"12062",Chalet Hotels Limited,,,
"11852",Nexteer Automotive Group Limited,,,
"12656",Easy Trip Planners Limited,,,
"11933",Orbimed Ltd,,,
"13845",Medanta Hospital,,,
"11863",Guangzhou Auto,,,
"12069",Shopify Inc.,,,
"12235",Spotify,,,
"12742",Macrotech Developers,,,
"12197",Jawa,,,
"12291",Mapletree North Asia Commercial,,,
"11980",Campbell Soup Co,,,
"12100",PNB Metlife Insurance Limited,,,
"12017",Varroc Limited,,,
"11725",Branded Apparels,,,
"12367",Uber,,,
"12072","2U Inc",,,
"11535",Igarashi Motors,Igarashi Motors India Ltd,INE188B01013,
"12183",UCB,,,
"12190",South 32 Limited,,,
"12172",SBI General Assurance,,,
"12483",Deccan Chemicals,,,
"12091",Avana Logistek Limited,,,
"11694",South Indian Bank,,,
"12071",Aavas Financiers,,,
"12427",Popular Motors,,,
"12191",China State Construction,,,
"11881",Andrea Cesaro Directive games ,,,
"11966",IHH Healthcare Bhd,,,
"12603",Snowflake,,,
"12127",Magotteaux,,,
"12090",Boxin Auto Group Limited,,,
"11907",Jan Aushadi store,,,
"17004",JSW Group,,,
"12597",Unity Software,,,
"12058",Zee Media Corporation Ltd,,,
"12314",Rank Infratel,,,
"12268",Nukkad Shops Technologies Ltd,,,
"11916",Hindustan Aeronautics Limited,,,
"12109",Amneal,,,
"12353",Okinawa,,,
"12334",Fastly,,,
"12327",Antony Waste Handling Cell Limited,,,
"11921","ServiceNow, Inc. ",,,
"11952","Hortonworks, Inc.",,,
"12039",BDO India Limited,,,
"11937",Hanzhou Robam Appliances Company ltd ,,,
"12210",Royal Transport,,,
"12019",Pivotal Software.Inc ,,,
"11990",Dominion Energy Inc.,,,
"13083",Exxaro Tiles,,,
"12177",Hengrui Medicine ,,,
"11809",Bacardi India Pvt Ltd,,,
"14751",Aditya Birla Sun Life Savings Fund,,,
"12112",Sensera Limited,,,
"11263",Range Resources Copn,,,
"14105",Motilal Oswal MSCI EAFE Top 100 Select Index Fund,,,
"12025",Crif HIgh Mark,,,
"12155",Kurl On Enterprises,,,
"12298",Neogen Chemicals,,,
"12214",Rashmi Group,,,
"11891",Sembcorp Industries Ltd,,,
"13263",Vijaya Diagnostics,,,
"11934",Ford India private limited ,,,
"15603",JTL Infra,,,
"11932",GroupM,,,
"12074",Aleris,,,
"12340",Nike Inc,,,
"13043",Megha Engineering & Infrastructures ,,,
"12234",Crown Castle,,,
"12352",Coastal Corporation Limited,,,
"11997",Highly Limited,,,
"12113",Mayne pharma,,,
"12060",Ouokumpu,,,
"11817",The Western Union Company,,,
"12400",Shaadi.com,,,
"12161",EQUIFAX INC,,,
"11711",Dixon Technologies,,,
"12283",Abbvie,,,
"12206",Vivriti Capital ,,,
"12208",Odisha Cement Limited,,,
"12658",Optiemus Infracom,,,
"12095",Schedulers Logistics Ltd,,,
"11862",Indorama Ventures PCL,,,
"12108",Temenos,,,
"12451",Armaan Financial,,,
"12312",NCC Limited,,,
"11905","Akamai Technologies, ",,,
"11976",HDFC Asset Management Company Limited,,,
"13464",Hitech Pipes Ltd,,,
"12138",Vale,,,
"12229",Amdocs,,,
"11945", Grab Ltd,,,
"5947",Uflex Ltd,,INE516A01017,
"12620",Ugro Capital,,,
"12087",Axiata Group,,,
"12361",GE Power India Limited,,,
"12302",Energy Efficiency Services Limited,,,
"11965",Group M Media Planner,,,
"12129",VAREX IMAGING CORP -W/I,,,
"12426",Keddara Capital,,,
"12455",LyondellBasell Industries,,,
"12364",Singapore Airlines,,,
"11947",Patel Infrastructure Limited,,,
"11955",Sawai Pharmaceutical Limited,,,
"12102",Xiaomi,,,
"11953",Fortinet Inc. ,,,
"12329",Warburg Princus,,,
"12043",Philip Morris International Inc,,,
"12134",Pernod Ricard,,,
"15023",ICICI Prudential Nifty Infrastructure ETF,,,
"12231",Appian,,,
"11835",Varun Motors Ltd ,,,
"14752",HDFC Floating Rate Debt Fund,,,
"12163",Harsha Engineering,,,
"11351",AU Home Finance,,,
"14445",TERADYNE INC,,,
"12033","1 MG",,,
"12166",Hammerson,,,
"12554",Northern ARC,,,
"12228",Aeropostale,,,
"11892",Doosan Bobcat,,,
"13264",Square Yards,,,
"12032",Adani Cementation Ltd,,,
"16108",Budweiser Brewing Company APAC Limited,,,
"11950",Transformers & Rectifiers Ltd,,,
"12084",Affle,,,
"12390",Altico Capital,,,
"13143",Krsnaa Diagnostics,,,
"12257",Zerodha,,,
"12522",Tata AIA,,,
"12098",Kraft Heinz,,,
"12143",Temasek,,,
"12080",Stylam Industries Limited,,,
"11839",Policy Bazzar,,,
"12416",Reliance ETF Hang Seng BeEs,,,
"12181",Tharisa,,,
"11883",Seven Island Shipping Ltd,,,
"12292",Frasers Property Limited,,,
"12324",Tata Finance,,,
"12220",Instructure.Inc,,,
"13804",Keventer Agro ,,,
"12241",Pega Systems,,,
"12009",L&T Infrastructure Development Projects Limited,,,
"12119",KHD Humboldt ,,,
"12507",Faurecia,,,
"12330",Swarajya Magazine,,,
"12040",Hot Star,,,
"12094",Bira 91 ,,,
"14343",Hexagon Nutrition,,,
"12142",Capri Global ,,,
"12248",Rusal,,,
"11974",Nazara Technologies Limited,,,
"6582",Themis Medicare,Themis Medicare Ltd,INE083B01016,
"12719",Goldie Masale,,,
"12209",Apollo Pipe,,,
"12498",JBC Energy,,,
"12445",Campus Activewear Pvt. Ltd,,,
"11982",Angang Steel Limited,,,
"12198",IGB REIT,,,
"12435",Stove Kraft,,,
"12463",India Ratings & Research ,,,
"12405",Innoviti,,,
"11968",CA Inc. ,,,
"11984",Zhengzhou Yutong Bus ,,,
"12136",Posco,,,
"12189",Longfor Group,,,
"12500",U Gro Capital,,,
"12044",Colgate palmolive ( US ),,,
"12225",The Lande Group LLC,,,
"15024",ACKO,,,
"12323",Kosamattam Finance,,,
"11995",Sandhya Marines Ltd,,,
"14904",Shiprocket ,,,
"12230",SolarWinds ,,,
"11536",IL & FS Investsm,IL & FS Investsmart Ltd,,
"14466",KG Group,,,
"12157",SBI Cards,,,
"12184",Vonovia,,,
"12562",LAM Research,,,
"12249",Haier India,,,
"11906",National Mineral Development Corporation  Ltd ,,,
"13743",VLCC,,,
"12035",OYO Limited,,,
"16128",Netweb Technologies India Limited,,,
"12036",Urbanclap,,,
"12086",IndiaMart Limited,,,
"12408",National Grid PLC,,,
"13727",Healthium Medtech,,,
"12270",Chicago Federal Reserve,,,
"12616",Datto Holding Corp,,,
"12123","EPAM Systems, Inc.",,,
"12144",SRG Housing Finance,,,
"12117",T. ROWE PRICE GROUP INC,,,
"11920",ICICI Securities Ltd ,,,
"12465",Rossari Biotech,,,
"12256",Muthoot Microfinance Ltd,,,
"12180",Munich Re,,,
"12355",Logic Serve ,,,
"12331",Biocon Biologics,,,
"12243",Bessemer Venture Partners ,,,
"14085",LULULEMON ATHLETICA INC (LULU),,,
"12369",HDFC Capital,,,
"12050",Vedanta Resources PLC,,,
"12120",General Dynamics Corp,,,
"12527",NextEra Energy,,,
"12341",Raytheon Co,,,
"12224",Workfusion,,,
"12114",Charles river laboratories,,,
"15924",Kuantum Papers Limited,,,
"12186", China Overseas Land & Inv,,,
"12277",Maharashtra State Electricity Distribution Company Limited,,,
"11986",Hector Beverages,,,
"6645",Star Cement Ltd,,,
"13084",Rolex Rings,,,
"12537",Tata Power Renewable,,,
"12524",Tata Steel Long Products,,,
"12474",NSDL,,,
"12030",Adobe Systems Inc.,,,
"12240",Blue Prism,,,
"12558",Best Agrolife,,,
"12484",Apollo Tricoat Tubes,,,
"12436",Cyberagent,,,
"11978",Arvee Denims Limited,,,
"12156",High Spirit Commercial Ventures Pvt.Ltd.,,,
"12205",Incipa Advisors,,,
"12195",Lexi Pvt Ltd,,,
"12602",Commercial Metals Company,,,
"12075",Aakash Educational Services,,,
"12247",Arvind Fashion,,,
"15546",Divgi Torqtransfer Systems,,,
"12326",Tata Cummins,,,
"12116",Swiggy,,,
"15244",Asianet Satellite Communicattions,,,
"12273",Federal Reserve,,,
"11761",Kia Motors,,,
"14563",Ineos Styrolution Limited,,,
"12188",Flair Writing Industries Ltd,,,
"12215",Talwalkar Healthclub Limited,,,
"12585",ICICI Prudential Focused Equity Fund,,,
"12262",Radiant hospitals,,,
"11929", H G Infra Engineering Ltd,,,
"14725",Niva Bupa,,,
"12106",Indivor,,,
"16424",ICICI Prudential Nifty50 Value 20 ETF,,,
"12097",Big Basket,,,
"12164",Dodla Dairy,,,
"12414",Franklin Asian Equity Fund,,,
"14484",PKH Ventures Limited,,,
"12280",Vedanta Black mountain Zinc mine,,,
"12665",Nureca Limited,,,
"12140",OMD,,,
"12175",DXC Technology,,,
"12122",Garden Reach Shipbuilders & Engineers Ltd.,,,
"12211",OnlinePSBLoans.com,,,
"12519",Alembic Limited,,,
"12294",Ciputra Development,,,
