"COMP_ID","COMP_NM","COMP_LONG_NM","ISIN_CODE","TICKER"
"10259",Finolex Cables Ltd,Finolex Cables Ltd,INE235A01022,NFNXC IN Equity
"10135",Transport Corp.,Transport Corporation of India Ltd,INE688A01022,
"10152",RPG GROUP,,,
"10205",Quattro,,,
"10361",Aptech,Aptech Ltd,INE266F01018,NAPTR IN Equity
"10132",Tamilnadu Electric Board (TNEB),,,
"10211",Delheivery,,,
"10260",GMR Energy,,,
"10065",Nissan Copper Ltd,,INE846H01039,
"10024",Ballarpur Inds,Ballarpur Industries Ltd,INE294A01037,NBILT IN Equity
"10560",KPR Mills,,,
"10336",Watson Software,Watson Software Ltd,,
"10114",Uttam Galva,Uttam Galva Steels Ltd,INE699A01011,
"10106",Poly Medicure,Poly Medicure Ltd,INE205C01021,
"10212",Express Scripts(US Company),,,
"10452",BALANCED FUNDS,,,
"10154",Sun TV,Sun TV Ltd,INE424H01027,
"10778",Exedy (Ceekay daikin),,,
"10345",Genesis Colors,,,
"10735",Jay Shree Tea,Jay Shree Tea & Industries Ltd,INE364A01020,
"10343",Dimond Power Infra,,,
"10701",TTK Healthcare,TTK Healthcare Ltd,INE910C01018,
"11181",Sudan Garments Ltd,,,
"10427",Hind.Sanitarywar,Hindustan Sanitaryware & Industries Ltd,INE415A01038,NHSI IN Equity
"10435",Moser Baer (I),Moser Baer (India) Ltd,INE739A01015,NMBI IN Equity
"11057",Aarvee Denims,Aarvee Denims & Exports Ltd,INE273D01019,
"10279",South Ind.Bank,South Indian Bank Ltd,INE683A01023,
"10101",Electrosteel Steels Ltd,,INE481K01013,
"11011",Capital First,,INE688I01017,
"10340",CLSA HONG KONG CONFC,,,
"10138",Beck India,Beck India Ltd,INE280B01018,EBECK IN Equity
"10464",Yes Bank,Yes Bank Ltd,INE528G01019,NYES IN Equity
"10261",Goldman Macro Conferance 2016,,,
"10499",Indiabulls Securities Ltd,Indiabulls Securities Ltd,,
"10373",Taro Pharmaceuticals,,,
"10604",Honeywell Auto,Honeywell Automation India Ltd,INE671A01010,
"10404",cookson India Ltd,,,
"10287",Akruti City Ltd,Akruti City Ltd,,
"10263",Intequant advisors,,,
"10583",Globus Spirit,,,
"10349",Pan India Food Solution Pvt Ltd,,,
"10717",Nitish Estates,,,
"10534",Essel Infra,,,
"11444",J K Lakshmi Cements Ltd,J K Cements Ltd,INE823G01014,JKCE IN Equity
"10213",Disa India,Disa India Ltd,INE131C01011,
"10443",Sundaram Brake,Sundaram Brake Linings Ltd,INE073D01013,NSBL IN Equity
"10861",Teva Pharma,,,
"10515",Baxalta Inc,,,
"10548",Sujana Metal Prd,Sujana Metal Products Ltd,INE215G01021,
"10847",Future Consumer Enterprises Ltd,,,
"10379",Bombay Dyeing,Bombay Dyeing & Manufacturing Company Ltd,INE032A01023,NBD IN Equity
"10704",BF Utilities,BF Utilities Ltd,INE243D01012,
"11027",Trimax It Infra,,,
"10559",Indian Bank,Indian Bank,INE562A01011,
"10608",Max India,Max India Ltd,INE180A01020,NMAX IN Equity
"10476",Jaiprakash Hydro,Jaiprakash Hydro-Power Ltd,INE351F01018,NJHPL IN Equity
"10254",Shrenuj & Co.,Shrenuj & Company Ltd,INE633A01028,
"10350",Oriental Carbon,Oriental Carbon & Chemicals Ltd,INE321D01016,
"10027",Eonour Technlgy,Eonour Technologies Ltd,,
"10930",Nahar Indl. Ent.,Nahar Industrial Enterprises Ltd,INE289A01011,
"10337",Ador Welding,Ador Welding Ltd,INE045A01017,
"10267",MIP 15,,,
"10191",Gravity (India),Gravity (India) Ltd,INE995A01013,
"10629",Mc Donald’s Corporation(US Company),,,
"10503",Kirloskar Engines Ltd,,,
"10348",Nobroker.in,,,
"10327",Numero Uno,,,
