"id","company_name","sector","sub_sector","created_at","updated_at","dd_ticker","nse_ticker","bse_ticker","dd_index","kms_index","refinitiv_index","kms_comp_code","fiscalmonth"
1493,Devyani International Ltd,118,99,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,DEVYANI.DD,DEVYANI,,28005,,97411,,3
1541,PB Fintech Ltd,31,34,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,POLICYBZR.DD,POLICYBZR,,28047,,130204,,3
1538,Sapphire Foods India Ltd.,118,99,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,SAPPHIRE.DD,SAPPHIRE,,28051,,131104,,3
1432,Astec LifeSciences Ltd,78,79,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,ASTEC.DD,ASTEC,"533138",389,,71722,,3
1336,HDFC Asset Management Company Ltd.,20,115,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,HDFCAMC.DD,HDFCAMC,"541729",24450,,115106,,3
198,Indus Towers Ltd.,68,70,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,INDUSTOWER.DD,INDUSTOWER,,76,,86602,,3
1329,Bandhan Bank Ltd.,20,22,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,BANDHANBNK.DD,BANDHANBNK,,24218,,106312,,3
1592,Piramal Pharma Ltd,28,30,2024-09-04 10:58:18.053,2024-12-25 19:00:00.948,PPLPHARMA.DD,PPLPHARMA,"543635",28107,,134607,,0
511,Manappuram Finance Ltd,20,26,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,MANAPPURAM.DD,MANAPPURAM,"531213",95,,70079,,3
195,Coforge Ltd,31,36,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,COFORGE.DD,COFORGE,,69,,45522,,3
2032,Unicommerce Esolutions Limited,31,37,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,UNIECOM.DD,UNIECOM,,51777,,140066,,3
810,GE T&D India Ltd.,38,39,2024-12-06 09:02:06.391,2024-12-16 19:00:00.934,GET&D.DD,GET&D,"522275",1730,,,,0
1150,Andhra Paper Ltd.,38,108,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,ANDHRAPAP.DD,ANDHRAPAP,,1784,,27555,,3
638,Avenue Supermarts Limited,118,121,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,DMART.DD,DMART,"540376",213,,109470,,3
1456,Mindspace Business Parks REIT,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,MINDSPACE.DD,MINDSPACE,,27966,,121836,,3
1787,AWFIS Space Solutions Limited,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,AWFIS.DD,AWFIS,,32008,,138381,,3
102,M&M Financial Services Ltd,20,26,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,M&MFIN.DD,M&MFIN,,99,,50474,,3
39,ERIS LIFESCIENCES Ltd,28,30,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ERIS.DD,ERIS,,4008,,112155,,3
1226,Endurance Technologies Ltd,1,4,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,ENDURANCE.DD,ENDURANCE,,4010,,83857,,3
1100,Advanced Enzyme Technologies Ltd.,78,79,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,ADVENZYMES.DD,ADVENZYMES,"540025",1612,,93995,,3
1246,SBI Life Insurance Company Ltd,20,89,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,SBILIFE.DD,SBILIFE,"540719",4032,,103095,,3
1401,Affle (India) Limited,31,34,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,AFFLE.DD,AFFLE,"542752",27911,,117049,,3
1422,Embassy Office Parks REIT,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,EMBASSY.DD,EMBASSY,,27931,,107144,,3
593,Bajaj Consumer care Ltd.,7,9,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,BAJAJCON.DD,BAJAJCON,,174,,81083,,3
626,S.J.S. Enterprises Limited,1,4,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,SJS.DD,SJS,"543387",28048,,129820,,3
143,Anand Rathi Wealth Ltd,20,115,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ANANDRATHI.DD,ANANDRATHI,"543415",28057,,132596,,3
1554,CMS Info Systems Ltd,31,37,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,CMSINFO.DD,CMSINFO,"543441",28068,,113386,,3
1561,Cholamandalam Financial Holdings Ltd,20,26,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,CHOLAHLDNG.DD,CHOLAHLDNG,,28076,,25388,,3
67,"360 ONE WAM Ltd",20,115,2024-09-04 10:58:18.053,2024-12-17 10:00:01.711,"360ONE.DD","360ONE",,27925,,120914,,0
1415,Aavas Financiers Ltd.,20,24,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,AAVAS.DD,AAVAS,,27920,,115880,,3
1431,Angel One Ltd.,20,83,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ANGELONE.DD,ANGELONE,,27946,,117519,,3
1343,ICICI Securities Ltd.,20,83,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ISEC.DD,ISEC,,25252,,114590,,3
1391,Chalet Hotels Ltd.,64,14,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,CHALET.DD,CHALET,,27905,,116938,,3
1654,Emcure Pharmaceuticals Limited,28,30,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,EMCURE.DD,EMCURE,,32025,,94904,,3
1580,Bikaji Foods International Limited,7,9,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,BIKAJI.DD,BIKAJI,,28101,,132659,,3
1535,Latent View Analytics Ltd,31,36,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,LATENTVIEW.DD,LATENTVIEW,,28052,,130289,,3
1620,Cyient DLM Ltd,38,46,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,CYIENTDLM.DD,CYIENTDLM,,28143,,135587,,3
1626,ASK Automotive Ltd,1,4,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ASKAUTOLTD.DD,ASKAUTOLTD,,28272,,137160,,3
1650,Aarti Pharmalabs Limited,28,30,2024-09-04 10:58:18.053,2024-12-17 10:00:01.711,AARTIPHARM.DD,AARTIPHARM,,28344,,135681,,0
9232,Bajaj Housing Finance Limited,20,24,2024-09-24 09:46:26.580,2025-01-02 10:30:37.360,BAJAJHFL.DD,BAJAJHFL,,162987,,139846,,3
34002,NTPC Green Energy Limited,72,74,2024-11-30 02:44:39.780,2024-12-17 10:00:01.843,NTPCGREEN.DD,NTPCGREEN,,400220,,140952,,0
3092,Kross Limited,38,47,2024-09-21 16:05:08.064,2024-12-17 10:00:01.843,KROSS.DD,KROSS,,162224,,140285,,0
1721,Brainbees Solutions Limited,118,122,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,FIRSTCRY.DD,FIRSTCRY,,32048,,139458,,3
4,Ecos (India) Mobility & Hospitality Limited,64,65,2024-09-04 10:58:18.053,2024-12-17 10:00:01.843,ECOSMOBLTY.DD,ECOSMOBLTY,,115569,,140078,,0
623,Adani Ports & SEZ Ltd.,72,66,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,ADANIPORTS.DD,ADANIPORTS,,193,,61184,,3
1361,PSP Projects Ltd.,72,107,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,PSPPROJECT.DD,PSPPROJECT,,26544,,111154,,3
1392,CreditAccess Grameen Ltd,20,26,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,CREDITACC.DD,CREDITACC,,27913,,115462,,3
1457,Craftsman Automation Ltd,38,48,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,CRAFTSMAN.DD,CRAFTSMAN,,27973,,127424,,3
48,KSB Ltd.,38,39,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,KSB.DD,KSB,,993,,52751,,12
1531,Aditya Birla Sun Life Asset Management Company Ltd,20,115,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ABSLAMC.DD,ABSLAMC,,28035,,127758,,3
36395,Waaree Energies Limited,38,46,2024-11-30 02:44:40.379,2024-12-25 19:00:00.948,WAAREEENER.DD,WAAREEENER,"544277",314761,,130066,,0
1572,Krishna Institute of Medical Sciences Ltd,28,29,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,KIMS.DD,KIMS,,28081,,107926,,3
1410,IndiaMART InterMESH Ltd.,31,34,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,INDIAMART.DD,INDIAMART,,27927,,98485,,3
1758,Ceigall India Limited,72,107,2024-09-04 10:58:18.053,2024-12-17 10:00:01.843,CEIGALL.DD,CEIGALL,,32047,,140056,,0
601,Varun Beverages,7,12,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,VBL.DD,VBL,,177,,97455,,12
1504,Jupiter Life Line Hospitals Limited,28,29,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,JLHL.DD,JLHL,,28142,,136751,,3
1302,Interarch Building Products Limited,92,95,2024-09-04 10:58:18.053,2024-12-17 10:00:01.843,INTERARCH.DD,INTERARCH,,75465,,140151,,0
1661,Bharat Highways InvIT,72,76,2024-09-04 10:58:18.053,2024-12-17 10:00:01.711,BHINVIT.DD,BHINVIT,,32035,,135518,,0
2051,PG Electrolplast Ltd,38,46,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,PGEL.DD,PGEL,,1934,,87419,,3
1525,Brookfield India Real Estate Trust,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,BIRET.DD,BIRET,,28029,,126991,,12
1606,Nexus Select Trust,72,75,2024-09-04 10:58:18.053,2024-12-17 10:00:01.711,NXST.DD,NXST,,28128,,136930,,0
2,Premier Energies Limited,38,46,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,PREMIERENE.DD,PREMIERENE,,111598,,139452,,3
