"Ticker","Name_","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_"
TCS,Tata Consultancy Services Ltd,Year,2025,EBITDAPS,EBITDA Per Share,Currency,INR,192.29
TCS,Tata Consultancy Services Ltd,Year,2025,PSR,Price/Sales Ratio,Percentage,,5.98
TCS,Tata Consultancy Services Ltd,Year,2025,ORGANICSAL,Organic Sales Growth,Percentage,,5.455
TCS,Tata Consultancy Services Ltd,Year,2025,GROSSINC,Gross Income,Currency,INR,1023653.18182
TCS,Tata Consultancy Services Ltd,Year,2025,NOSHAREOUT,Number of Shares Outstanding,Shares,,3655.95
TCS,Tata Consultancy Services Ltd,Year,2025,TOTDEBT,Total Debt,Currency,INR,67448.0
TCS,Tata Consultancy Services Ltd,Year,2025,ROIC,Return on Invested Capital,Percentage,,76.91333
TCS,Tata Consultancy Services Ltd,Year,2025,INVENTORY,Inventory,Currency,INR,382.0
TCS,Tata Consultancy Services Ltd,Year,2025,TAXRATE,Tax Rate,Percentage,,25.43727
TCS,Tata Consultancy Services Ltd,Year,2025,GOODWILL,Goodwill,Currency,INR,33170.66667
TCS,Tata Consultancy Services Ltd,Year,2025,EBITDAREP,EBITDA Reported,Currency,INR,659037.63684
TCS,Tata Consultancy Services Ltd,Year,2025,CURRASSETS,Current Assets,Currency,INR,1128695.70588
TCS,Tata Consultancy Services Ltd,Year,2025,CURRLIAB,Current Liabilities,Currency,INR,504716.33333
TCS,Tata Consultancy Services Ltd,Year,2025,NWC,Net Working Capital,Currency,INR,489598.0
TCS,Tata Consultancy Services Ltd,Year,2025,FCF,Free Cash Flow,Currency,INR,464791.34254
TCS,Tata Consultancy Services Ltd,Year,2025,TOTALLIAB,Total Liabilities ,Currency,INR,982829.2381
TCS,Tata Consultancy Services Ltd,Year,2025,EPSCASH,Cash EPS,Currency,INR,152.95409
TCS,Tata Consultancy Services Ltd,Year,2025,EPS,Earnings Per Share,Currency,INR,137.63214
TCS,Tata Consultancy Services Ltd,Year,2025,NPROFITREP,Reported Net Profit,Currency,INR,502256.74573
TCS,Tata Consultancy Services Ltd,Year,2025,EBITDA,Earnings Before Interest Taxes and Depreciation,Currency,INR,690972.34638
TCS,Tata Consultancy Services Ltd,Year,2025,INCTAX,Income Taxes Paid,Currency,INR,170290.14286
TCS,Tata Consultancy Services Ltd,Year,2025,GPM,Gross Margin (Gross Profit Margin),Percentage,,40.37477
